"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8127","@api Verify API method getOrders","chromium","Mon May 18 11:58:58 UTC 2026","passed","Mon May 18 11:59:06 UTC 2026","","API/ClearConnect.spec.ts","",""
"","11494","@regression Enable temp flat pay and bill","chromium","Mon May 18 11:59:13 UTC 2026","passed","Mon May 18 11:59:24 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","7570","@api Verify API method insertOrder","chromium","Mon May 18 11:58:51 UTC 2026","passed","Mon May 18 11:58:58 UTC 2026","","API/ClearConnect.spec.ts","",""
"","2095","@smoke Verify Quick link text in main menu page","chromium","Mon May 18 11:58:36 UTC 2026","passed","Mon May 18 11:58:38 UTC 2026","","UI/Login/Login.spec.ts","",""
"","40766","@regression Create a new order","chromium","Mon May 18 11:58:29 UTC 2026","passed","Mon May 18 11:59:10 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","7205","@api Verify API method getClients","chromium","Mon May 18 11:59:06 UTC 2026","passed","Mon May 18 11:59:14 UTC 2026","","API/ClearConnect.spec.ts","",""
"","17045","@regression Post Timecard","chromium","Mon May 18 11:59:01 UTC 2026","passed","Mon May 18 11:59:18 UTC 2026","Timecard Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","19700","@api Verify API method getTemps","chromium","Mon May 18 11:58:29 UTC 2026","passed","Mon May 18 11:58:49 UTC 2026","","API/ClearConnect.spec.ts","",""
"","352","seed","chromium","Mon May 18 11:58:29 UTC 2026","passed","Mon May 18 11:58:30 UTC 2026","Test group","seed.spec.ts","",""
"","3800","@smoke Verify Quick link text in admin user page","chromium","Mon May 18 11:58:38 UTC 2026","passed","Mon May 18 11:58:42 UTC 2026","","UI/Login/Login.spec.ts","",""
"","10918","@smoke Create new client with mandatory fields","chromium","Mon May 18 11:58:29 UTC 2026","passed","Mon May 18 11:58:40 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","15002","@regression Reconcile filled order","chromium","Mon May 18 11:58:31 UTC 2026","passed","Mon May 18 11:58:46 UTC 2026","Timecard Reconciliation and Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","13327","@regression Reconcile filled order","chromium","Mon May 18 11:59:27 UTC 2026","passed","Mon May 18 11:59:40 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","14960","@regression Create a filled order","chromium","Mon May 18 11:59:12 UTC 2026","passed","Mon May 18 11:59:27 UTC 2026","","UI/OrderManager/Order.spec.ts","",""
"","4997","@smoke Verify user able to login successfully parallel","chromium","Mon May 18 11:58:29 UTC 2026","passed","Mon May 18 11:58:34 UTC 2026","","UI/Login/Login.spec.ts","",""
"","17016","@regression Create new temp with custom address","chromium","Mon May 18 11:58:54 UTC 2026","passed","Mon May 18 11:59:11 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","14687","@regression Create new client with multiple data for New York, NY","chromium","Mon May 18 11:58:49 UTC 2026","passed","Mon May 18 11:59:03 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","14975","@regression Reconcile filled order with timecard image","chromium","Mon May 18 11:58:46 UTC 2026","passed","Mon May 18 11:59:01 UTC 2026","Timecard Reconciliation and Posting Using UI","UI/Timecard/Timecard.spec.ts","",""
"","18944","@smoke Create default new temp","chromium","Mon May 18 11:58:29 UTC 2026","passed","Mon May 18 11:58:48 UTC 2026","","UI/TempManager/TempProfile.spec.ts","",""
"","6888","@regression Create new client with multiple data for Jersey City, NJ","chromium","Mon May 18 11:58:42 UTC 2026","passed","Mon May 18 11:58:49 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
"","6102","@regression Create new client with multiple data for Toronto, ON","chromium","Mon May 18 11:59:04 UTC 2026","passed","Mon May 18 11:59:10 UTC 2026","","UI/ClientManager/ClientProfile.spec.ts","",""
